# STN,YYYYMMDD,   RH, EV24
# 
  348,20010731,    0,   36
  348,20010801,    0,   36
  348,20010802,   15,   34
  348,20010803,    7,   23
  348,20010804,    5,   26
  348,20010805,   25,   31
  348,20010806,   38,   24
  348,20010807,  174,   20
  348,20010808,  110,   20
  348,20010809,  131,   17
  348,20010810,   12,   28
  348,20010811,    0,   35
  348,20010812,   21,   11
  348,20010813,    1,   10
  348,20010814,    0,   43
  348,20010815,    8,   39
  348,20010816,   -1,   26
  348,20010817,   -1,   37
  348,20010818,   -1,   33
  348,20010819,   -1,   30
  348,20010820,   -1,   24
  348,20010821,    0,   31
  348,20010822,    0,   36
  348,20010823,    0,   30
  348,20010824,    0,   37
  348,20010825,    0,   38
  348,20010826,  265,   23
  348,20010827,   21,   34
  348,20010828,   -1,   28
  348,20010829,    0,   30
  348,20010830,   -1,   15
  348,20010831,   51,   10
  348,20010901,    1,   27
  348,20010902,   13,    6
  348,20010903,  116,   10
  348,20010904,  202,   17
  348,20010905,   13,   16
  348,20010906,   38,   19
  348,20010907,   35,    9
  348,20010908,   43,   21
  348,20010909,   89,   16
  348,20010910,   44,   18
  348,20010911,   38,   25
  348,20010912,   19,   10
  348,20010913,   79,   16
  348,20010914,   16,   17
  348,20010915,   62,   16
  348,20010916,  113,   12
  348,20010917,  147,   13
  348,20010918,    0,   13
  348,20010919,  411,    2
  348,20010920,   50,   10
  348,20010921,    1,   21
  348,20010922,   22,   17
  348,20010923,    2,   16
  348,20010924,   14,   10
  348,20010925,   -1,   15
  348,20010926,   30,   16
  348,20010927,   50,   10
  348,20010928,    0,   23
  348,20010929,   64,   13
  348,20010930,    4,   16
  348,20011001,   15,    6
  348,20011002,   92,    4
  348,20011003,    3,   14
  348,20011004,   -1,   11
  348,20011005,    0,   18
  348,20011006,   41,   13
  348,20011007,   10,   14
  348,20011008,    0,   12
  348,20011009,   10,   12
  348,20011010,    0,   16
  348,20011011,    0,    5
  348,20011012,    0,   16
  348,20011013,    0,   15
  348,20011014,   -1,    9
  348,20011015,   13,   12
  348,20011016,    0,   14
  348,20011017,    0,   14
  348,20011018,   18,   10
  348,20011019,    0,    7
  348,20011020,    2,   11
  348,20011021,    7,    5
  348,20011022,    0,    8
  348,20011023,   91,    2
  348,20011024,    5,    6
  348,20011025,   -1,    9
  348,20011026,   10,   10
  348,20011027,    8,    9
  348,20011028,    8,    8
  348,20011029,    0,    6
  348,20011030,    0,   11
  348,20011031,   55,    7
  348,20011101,    1,    8
  348,20011102,    0,    9
  348,20011103,    0,    5
  348,20011104,    2,    3
  348,20011105,    2,    8
  348,20011106,   27,    4
  348,20011107,   70,    3
  348,20011108,  102,    4
  348,20011109,   16,    6
  348,20011110,    0,    5
  348,20011111,   -1,    2
  348,20011112,   41,    2
  348,20011113,    5,    4
  348,20011114,   -1,    6
  348,20011115,    0,    4
  348,20011116,    4,    3
  348,20011117,   -1,    3
  348,20011118,    0,    3
  348,20011119,    0,    2
  348,20011120,    1,    1
  348,20011121,   14,    3
  348,20011122,   74,    2
  348,20011123,   39,    3
  348,20011124,   15,    1
  348,20011125,   61,    3
  348,20011126,    8,    3
  348,20011127,   37,    5
  348,20011128,   -1,    4
  348,20011129,  161,    1
  348,20011130,   76,    1
  348,20011201,   31,    1
  348,20011202,   37,    2
  348,20011203,   12,    2
  348,20011204,   35,    1
  348,20011205,   17,    2
  348,20011206,    1,    5
  348,20011207,    0,    4
  348,20011208,    0,    3
  348,20011209,    0,    4
  348,20011210,    0,    3
  348,20011211,    0,    1
  348,20011212,    0,    1
  348,20011213,    0,    2
  348,20011214,    0,    3
  348,20011215,   -1,    1
  348,20011216,    0,    4
  348,20011217,    8,    2
  348,20011218,    0,    1
  348,20011219,   47,    1
  348,20011220,    3,    4
  348,20011221,  182,    0
  348,20011222,   17,    2
  348,20011223,    0,    5
  348,20011224,   28,    0
  348,20011225,   91,    3
  348,20011226,   69,    1
  348,20011227,   86,    1
  348,20011228,   47,    2
  348,20011229,   27,    1
  348,20011230,   23,    3
  348,20011231,   -1,    4
  348,20020101,    0,    2
  348,20020102,    0,    1
  348,20020103,    0,    5
  348,20020104,    0,    4
  348,20020105,    0,    3
  348,20020106,    0,    1
  348,20020107,    0,    2
  348,20020108,    0,    1
  348,20020109,    0,    4
  348,20020110,    0,    3
  348,20020111,    7,    1
  348,20020112,   20,    1
  348,20020113,    0,    5
  348,20020114,   -1,    1
  348,20020115,   73,    1
  348,20020116,    0,    5
  348,20020117,   25,    2
  348,20020118,   12,    5
  348,20020119,   21,    4
  348,20020120,   75,    1
  348,20020121,   12,    1
  348,20020122,    8,    3
  348,20020123,   32,    1
  348,20020124,   27,    2
  348,20020125,   22,    4
  348,20020126,  225,    2
  348,20020127,   61,    4
  348,20020128,   38,    6
  348,20020129,    0,    6
  348,20020130,    0,    4
  348,20020131,   22,    7
  348,20020201,   -1,    3
  348,20020202,    0,   10
  348,20020203,   -1,    6
  348,20020204,   97,    4
  348,20020205,   86,    2
  348,20020206,   24,    3
  348,20020207,   38,    4
  348,20020208,   11,    5
  348,20020209,   14,    4
  348,20020210,   29,    5
  348,20020211,  163,    2
  348,20020212,    5,    8
  348,20020213,    1,    7
  348,20020214,    0,   11
  348,20020215,    0,   10
  348,20020216,    0,   11
  348,20020217,    0,   10
  348,20020218,    8,    8
  348,20020219,   86,    9
  348,20020220,  150,    9
  348,20020221,   -1,   11
  348,20020222,  140,    4
  348,20020223,   23,    6
  348,20020224,   48,    9
  348,20020225,  121,    3
  348,20020226,  102,   11
  348,20020227,   13,   11
  348,20020228,   25,    8
  348,20020301,  116,   11
  348,20020302,    1,   14
  348,20020303,    0,   12
  348,20020304,    0,    6
  348,20020305,    0,    9
  348,20020306,   13,    4
  348,20020307,    1,   16
  348,20020308,    0,   16
  348,20020309,   14,   15
  348,20020310,    0,   17
